dataset_id	dataset_name	sample_id	probe_id	yugene_value
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10452415	0.9998355043
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10452415	0.9998332798
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 1	10452415	0.9998331283
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10452415	0.9998316718
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10353250	0.9998023481
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10452415	0.9998009865
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10452415	0.9998003735
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10411452	0.9997964246
6231	Kojima_2013_24139757	EpiSCs_PS5_3	ILMN_2758581	0.9997856056
6231	Kojima_2013_24139757	EpiSCs_CAV1_1	ILMN_2758581	0.9997837671
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10353250	0.9997836218
6231	Kojima_2013_24139757	EpiSCs_LB1_3	ILMN_2758581	0.9997830436
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 2	10452415	0.9997824197
6231	Kojima_2013_24139757	EpiSCs_CAV2_3	ILMN_2758581	0.9997792594
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10353250	0.9997786671
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10417617	0.9997757832
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10353250	0.9997740992
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 2	10452415	0.9997711288
6231	Kojima_2013_24139757	epiblast_Cav2	ILMN_2758581	0.9997654801
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10353250	0.9997557435
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10417617	0.9997514882
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10353250	0.9997485906
6346	Brunskill_2014_24780627	Embryo at E9.5, epidermal ectoderm 7	10452415	0.9997482148
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10353250	0.9997337424
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10528167	0.999729091
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10353250	0.9997275305
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10417617	0.99972653
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 1	10353250	0.9997237609
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 1	10452415	0.9997213609
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 3	10452415	0.9997203321
6231	Kojima_2013_24139757	EpiSCs_LB3_2	ILMN_2758581	0.9997145018
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10565921	0.99971441
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10532027	0.9997063344
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10523354	0.9997063344
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10384552	0.9997063344
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10548143	0.9997036983
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10528167	0.9997020013
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10353250	0.9997010891
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10528167	0.9996948313
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 3	10452415	0.9996866516
6346	Brunskill_2014_24780627	Embryo at E9.5, epidermal ectoderm 7	10417617	0.9996855475
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10417617	0.9996840873
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10353250	0.9996829628
5019	Pelekanos_2011_22099021	BM-MSC rep4	ILMN_2758581	0.9996808048
5019	Pelekanos_2011_22099021	BM-MSC rep2	ILMN_2758581	0.999677155
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10353250	0.9996751363
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10452415	0.9996706568
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10411452	0.9996698341
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10528167	0.9996669646
6313	Doering_2012_23159438	H2-Db GP33-specific CD8+ T cells from C57BL/6 d6 p i with LCMV-Arm CD8+ Acute Day6-1	10452415	0.9996631663
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10411452	0.9996607841
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10452415	0.9996607604
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 3	10452415	0.9996598899
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10545765	0.999659008
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10501857	0.999659008
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10496626	0.999659008
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10491967	0.999659008
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10480032	0.999659008
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10565921	0.9996544102
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10565921	0.9996525202
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10452415	0.9996441502
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10353250	0.9996440506
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10548143	0.9996390959
6231	Kojima_2013_24139757	EpiSCs_CAV2_1_amp	ILMN_2758581	0.9996280498
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 2	10353250	0.9996219738
6231	Kojima_2013_24139757	EpiSCs_PS5_3_amp	ILMN_2758581	0.9996219455
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10452415	0.9996195337
6346	Brunskill_2014_24780627	Embryo at E10.5, mandibular arch 3	10452415	0.9996181252
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10545765	0.9996180195
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10501857	0.9996180195
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10496626	0.9996180195
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10491967	0.9996180195
6346	Brunskill_2014_24780627	Embryo at E8.5, floor plate neural epithelium 1	10480032	0.9996180195
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10353250	0.9996167742
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10452415	0.9996127476
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 2	10452415	0.9996126071
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 3	10452415	0.9996115595
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10579769	0.9996086366
6313	Doering_2012_23159438	H2-Db GP33-specific CD8+ T cells from C57BL/6 d8 p i with LCMV-Clone 13 CD8+ Chronic Day8-2	10452415	0.9996067356
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10353250	0.9996051828
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10528167	0.999605127
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10579769	0.9996030507
6346	Brunskill_2014_24780627	Embryo at E10.5, rathke's pouch 2	10417617	0.9996008369
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10548143	0.9995998602
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10579769	0.999593293
6168	Han_2010_21056461	T9-EPiSC rep1	ILMN_2588056	0.9995896393
6231	Kojima_2013_24139757	EpiSCs_LMS4_2	ILMN_2758581	0.9995847228
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 3	10353250	0.9995838233
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10545765	0.9995721306
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10501857	0.9995721306
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10496626	0.9995721306
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10491967	0.9995721306
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10480032	0.9995721306
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10417617	0.9995663326
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10353250	0.9995647275
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 3	10353250	0.9995571871
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 1	10353250	0.9995564385
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10545765	0.9995559027
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10501857	0.9995559027
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10496626	0.9995559027
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10491967	0.9995559027
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10480032	0.9995559027
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10548143	0.9995535886
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 2	10452415	0.999552663
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10528167	0.999552321
6231	Kojima_2013_24139757	epiblast_LB1	ILMN_2758581	0.9995518409
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10545765	0.999549773
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10501857	0.999549773
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10496626	0.999549773
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10491967	0.999549773
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10480032	0.999549773
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10545765	0.9995491906
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10501857	0.9995491906
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10496626	0.9995491906
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10491967	0.9995491906
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 2	10480032	0.9995491906
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 3	10353250	0.9995485412
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 2	10353250	0.9995458947
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10545765	0.999542594
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10501857	0.999542594
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10496626	0.999542594
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10491967	0.999542594
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT1	10480032	0.999542594
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 2	10452415	0.9995385463
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10548143	0.9995265503
6501	Nolan_2013_23871589a	Liver Day 2 Post Hepatectomy A	10452415	0.9995227715
6231	Kojima_2013_24139757	EpiSCs_EB1b_1	ILMN_2758581	0.9995190115
6231	Kojima_2013_24139757	EpiSCs_LMS2_3	ILMN_2758581	0.9995177338
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10411452	0.9995172088
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10532027	0.9995167521
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10523354	0.9995167521
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10384552	0.9995167521
6501	Nolan_2013_23871589a	Liver Day 2 Post Hepatectomy C	10452415	0.9995136913
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10565921	0.9995127321
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10545765	0.999511875
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10501857	0.999511875
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10496626	0.999511875
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10491967	0.999511875
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 2	10480032	0.999511875
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10417617	0.999511295
6346	Brunskill_2014_24780627	Embryo at E10.5, mandibular arch 3	10411452	0.9995099418
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 1	10417617	0.9995085496
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10417617	0.9995072633
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 1	10411452	0.9995066065
6346	Brunskill_2014_24780627	Embryo at E10.5, mandibular arch 1	10452415	0.9995043015
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10545765	0.9995041279
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10501857	0.9995041279
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10496626	0.9995041279
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10491967	0.9995041279
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT3	10480032	0.9995041279
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10417617	0.9995027834
6231	Kojima_2013_24139757	epiblast_LS3	ILMN_2758581	0.9995027318
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10545765	0.9994974797
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10501857	0.9994974797
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10496626	0.9994974797
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10491967	0.9994974797
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 1	10480032	0.9994974797
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 2	10417617	0.9994900369
6316	Liu_2012_22987803	CD4T_Cxcr5-Bcl6-_1	10452415	0.9994895267
6346	Brunskill_2014_24780627	Embryo at E10.5, rathke's pouch 2	10452415	0.9994884392
6316	Liu_2012_22987803	CD4T_Cxcr5-Bcl6-_2	10452415	0.9994878136
6593	Szulzewsky_2015_25658639	GBM associated microglia, replicate 2	10411452	0.9994752755
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10579769	0.9994745523
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10411452	0.9994715792
6593	Szulzewsky_2015_25658639	GBM associated microglia, replicate 3	10452415	0.9994702867
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10528167	0.9994670495
5019	Pelekanos_2011_22099021	cCFU-f rep4	ILMN_2758581	0.9994667946
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10417617	0.9994642617
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 1	10548143	0.999464123
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 1	10452415	0.999464123
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10417617	0.9994614315
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10545765	0.9994591376
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10501857	0.9994591376
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10496626	0.9994591376
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10491967	0.9994591376
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 1	10480032	0.9994591376
6231	Kojima_2013_24139757	epiblast_PS2	ILMN_2758581	0.9994588835
6346	Brunskill_2014_24780627	Embryo at E10.5, mandibular arch 3	10353250	0.9994559889
6231	Kojima_2013_24139757	EpiSCs_LMS1_1	ILMN_2758581	0.9994549259
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10548143	0.9994532493
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 2	10353250	0.999449804
6316	Liu_2012_22987803	CD4T_Cxcr5+Bcl6-_1	10452415	0.9994476087
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10417617	0.9994388429
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 3	10417617	0.9994377852
6346	Brunskill_2014_24780627	Embryo at E9.5, epidermal ectoderm 7	10411452	0.9994351434
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 2	10411452	0.9994342885
6593	Szulzewsky_2015_25658639	GBM associated microglia, replicate 2	10353250	0.9994278922
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10565921	0.9994228326
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10565921	0.999422555
6593	Szulzewsky_2015_25658639	GBM associated microglia, replicate 3	10417617	0.9994224956
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10417617	0.9994194164
6501	Nolan_2013_23871589a	Liver Day 2 Post Hepatectomy B	10452415	0.9994173188
6231	Kojima_2013_24139757	EpiSCs_PS5_2	ILMN_2758581	0.9994164743
6231	Kojima_2013_24139757	EpiSCs_LMS2_1	ILMN_2758581	0.9994136677
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10548143	0.9994113509
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 2	10417617	0.9994092364
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10565921	0.9994081215
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10565921	0.9994037174
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10417617	0.9994016721
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10548143	0.999399069
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 1	10417617	0.9993982749
6316	Liu_2012_22987803	CD4T_Cxcr5-Bcl6-_2	10353250	0.9993961942
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 1	10417617	0.9993940706
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 3	10353250	0.9993906911
5019	Pelekanos_2011_22099021	kCFU-f rep3	ILMN_2758581	0.9993867629
6346	Brunskill_2014_24780627	Embryo at E10.5, maxillary arch 2	10417617	0.9993865392
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10545765	0.9993836202
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10501857	0.9993836202
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10496626	0.9993836202
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10491967	0.9993836202
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 1	10480032	0.9993836202
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 3	10548143	0.9993826099
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10353250	0.9993786166
6593	Szulzewsky_2015_25658639	GBM associated microglia, replicate 1	10548143	0.9993775034
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 1	10528167	0.999375294
6593	Szulzewsky_2015_25658639	GBM associated microglia, replicate 3	10548143	0.999374714
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10548143	0.9993728598
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10411452	0.9993705649
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10532027	0.9993690827
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10523354	0.9993690827
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 1	10384552	0.9993690827
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10548143	0.9993672897
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10545765	0.999358454
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10501857	0.999358454
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10496626	0.999358454
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10491967	0.999358454
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 1	10480032	0.999358454
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10545765	0.9993541911
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10501857	0.9993541911
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10496626	0.9993541911
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10491967	0.9993541911
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT3	10480032	0.9993541911
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10411452	0.9993481689
6316	Liu_2012_22987803	CD4T_Cxcr5+Bcl6+_2	10452415	0.9993467573
6086	Bigas_2012_22802352	endothelial-like cell cKit(+) CD31(+) CD45(-) rep1	10452415	0.9993453892
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 2	10579769	0.999345017
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 1	10579769	0.9993441282
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 3	10417617	0.9993410145
6399	delValle_2013_23487312	Beta-catenin null -/- E-cadherin alpha fusion construct, replicate 1	10411452	0.9993400899
5001	Ieda_2010_20691899	aMHC neonatal cardiomyocytes GFP+ rep1	10452415	0.999340077
6086	Bigas_2012_22802352	endothelial-like cell cKit(+) CD31(+) CD45(-) rep3	10452415	0.9993399174
6231	Kojima_2013_24139757	EpiSCs_LB2_2_ amp	ILMN_2758581	0.999339183
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 3	10417617	0.999336178
6231	Kojima_2013_24139757	EpiSCs_CAV1_3	ILMN_2758581	0.9993358209
6074	Macfarlan_2012_22722858a	mESC 2C tomato - WT2	10580590	0.9993351169
6231	Kojima_2013_24139757	EpiSCs_CAV1_2	ILMN_2758581	0.9993350617
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10545765	0.9993344091
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10501857	0.9993344091
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10496626	0.9993344091
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10491967	0.9993344091
6455	Zigmond_2014_24890723	Ly6C High monocytes, 24 hrs, replicate 3	10480032	0.9993344091
6593	Szulzewsky_2015_25658639	GBM associated microglia, replicate 2	10548143	0.9993331698
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 3	10417617	0.9993286579
6146	Polo_2010_20644536_a	Skeletal muscle precursor-derived iPS, replicate 3	10565921	0.9993274478
6593	Szulzewsky_2015_25658639	GBM associated microglia, replicate 3	10353250	0.9993269505
6346	Brunskill_2014_24780627	Embryo at E10.5, rathke's pouch 1	10452415	0.9993256624
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT2	10579769	0.9993249429
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 1	10417617	0.9993185897
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10545765	0.999315199
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10501857	0.999315199
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10496626	0.999315199
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10491967	0.999315199
6399	delValle_2013_23487312	Beta-catenin null -/-, replicate 2	10480032	0.999315199
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 2	10353250	0.9993140375
6074	Macfarlan_2012_22722858a	mESC 2C tomato + WT1	10417617	0.9993097993
6316	Liu_2012_22987803	CD4T_Cxcr5-Bcl6-_1	10353250	0.9993070034
6316	Liu_2012_22987803	CD4T_Cxcr5-Bcl6-_2	10417617	0.9993049119
6146	Polo_2010_20644536_a	Granulocyte-derived iPS, replicate 2	10411452	0.99930309
5019	Pelekanos_2011_22099021	BM-MSC rep1	ILMN_2758581	0.9993020314
6399	delValle_2013_23487312	Beta-catenin flox/-, replicate 3	10411452	0.9993016143
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10545765	0.99930161
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10501857	0.99930161
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10496626	0.99930161
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10491967	0.99930161
6146	Polo_2010_20644536_a	B cell-derived iPS, replicate 3	10480032	0.99930161
6231	Kojima_2013_24139757	EpiSCs_LB1_2	ILMN_2758581	0.9992951331
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10545765	0.999294694
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10501857	0.999294694
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10496626	0.999294694
6146	Polo_2010_20644536_a	Tail tip fibroblast-derived iPS, replicate 3	10491967	0.999294694
